=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.09.26 13:23:33 =~=~=~=~=~=~=~=~=~=~=~=
Time: 32916	Period: 1304788	Veloc:  67020
Time: 82888	Period: 1303288	Veloc:  67460
Time: 85572	Period: 1303196	Veloc:  67904
Hello Physics.
Time: 2483	Period: 1303052	Veloc:  68776
Time: 5055	Period: 1302968	Veloc:  69224
Time: 7729	Period: 1302876	Veloc:  69668
Time: 10302	Period: 1302784	Veloc:  70128
Time: 12986	Period: 1302720	Veloc:  70576
Time: 15567	Period: 1302664	Veloc:  71024
Time: 18251	Period: 1302556	Veloc:  71480
Time: 20833	Period: 1302260	Veloc:  71940
Time: 23518	Period: 1302196	Veloc:  72404
Time: 26099	Period: 1302160	Veloc:  72848
Time: 28783	Period: 1302044	Veloc:  73332
Time: 31365	Period: 1302072	Veloc:  73800
Time: 34049	Period: 1301948	Veloc:  74284
Time: 36630	Period: 1301912	Veloc:  74764
Time: 39314	Period: 1301792	Veloc:  75236
Time: 41895	Period: 1301720	Veloc:  75716
Time: 44477	Period: 1301580	Veloc:  76208
Time: 47162	Period: 1301500	Veloc:  76696
Time: 49742	Period: 1301440	Veloc:  77204
Time: 52427	Period: 1301400	Veloc:  77696
Time: 55009	Period: 1301328	Veloc:  78200
Time: 57693	Period: 1301240	Veloc:  78700
Time: 60274	Period: 1301180	Veloc:  79204
Time: 62958	Period: 1301040	Veloc:  79708
Time: 65540	Period: 1300972	Veloc:  80224
Time: 68225	Period: 1300884	Veloc:  80736
Time: 70805	Period: 1300764	Veloc:  81260
Time: 73490	Period: 1300660	Veloc:  81776
Time: 76071	Period: 1300544	Veloc:  82308
Time: 78755	Period: 1300436	Veloc:  82828
Time: 81337	Period: 1300348	Veloc:  83348
Time: 83918	Period: 1300320	Veloc:  83876
Time: 86602	Period: 1299912	Veloc:  84368
Time: 89184	Period: 1299968	Veloc:  84836
Time: 91868	Period: 1299888	Veloc:  85300
Time: 94449	Period: 1299772	Veloc:  85764
